id,model_name,type,color,price,brand,version,name,engine_capacity,engine_type,transmission_type,features,image_url,source_url,source_id,source_SkuId,source_name,status,create_at
1,,,,23.858.000 ₫,,,Xe Máy Yamaha Sirius Fi 2023 - Phiên Bản Vành Đúc,,,,,,https://www.lazada.vn/products/xe-may-yamaha-sirius-fi-2023-phien-ban-vanh-duc-i2304238415.html,,,lazada,active,2024-12-03 06:02:30.405947
2,,,,21.500.000 ₫,,,XE MÁY YAMAHA SIRIUS FI PHANH CƠ PHIÊN BẢN MỚI MÀU TRẮNG,,,,,,https://www.lazada.vn/products/xe-may-yamaha-sirius-fi-phanh-co-phien-ban-moi-mau-trang-i1592840752.html,,,lazada,active,2024-12-03 06:02:30.405947
3,,,,23.600.000 ₫,,,XE MÁY YAMAHA SIRIUS FI PHANH ĐĨA PHIÊN BẢN MỚI MÀU ĐỎ,,,,,,https://www.lazada.vn/products/xe-may-yamaha-sirius-fi-phanh-dia-phien-ban-moi-mau-do-i1592824829.html,,,lazada,active,2024-12-03 06:02:30.405947
4,,,,48.900.000 ₫,,,Xe Máy Exciter 155 Phiên Bản Cao Cấp Smartkey-Chỉ giao xe tại Hà Nội,,,,,,https://www.lazada.vn/products/xe-may-exciter-155-phien-ban-cao-cap-smartkey-chi-giao-xe-tai-ha-noi-i1461122165.html,,,lazada,active,2024-12-03 06:02:30.405947
5,,,,46.500.000 ₫,,,Xe Yamaha Exciter 155 VVA Phiên Bản Tiêu Chuẩn-Chỉ giao xe tại Hà Nội,,,,,,https://www.lazada.vn/products/xe-yamaha-exciter-155-vva-phien-ban-tieu-chuan-chi-giao-xe-tai-ha-noi-i1460992689.html,,,lazada,active,2024-12-03 06:02:30.405947
6,,,,30.100.000 ₫,,,Xe Yamaha Jupiter FI (trả góp 0%)Chỉ giao xe tại Hà Nội,,,,,,https://www.lazada.vn/products/xe-yamaha-jupiter-fi-tra-gop-0chi-giao-xe-tai-ha-noi-i1436975089.html,,,lazada,active,2024-12-03 06:02:30.405947
7,,,,23.600.000 ₫,,,Xe Yamaha Sirius FI vành đúc ( trả góp 0% )Chỉ giao xe tại Hà Nội,,,,,,https://www.lazada.vn/products/xe-yamaha-sirius-fi-vanh-duc-tra-gop-0-chi-giao-xe-tai-ha-noi-i1436860573.html,,,lazada,active,2024-12-03 06:02:30.405947
8,,,,23.600.000 ₫,,,Xe Maý Yamaha Sirius FI phanh đĩa (trả góp 0%)Chỉ giao xe tại Hà Nội,,,,,,https://www.lazada.vn/products/xe-may-yamaha-sirius-fi-phanh-dia-tra-gop-0chi-giao-xe-tai-ha-noi-i1436825691.html,,,lazada,active,2024-12-03 06:02:30.405947
9,,,,21.700.000 ₫,,,Xe máy Yamaha Sirius FI Phanh Cơ (trả góp 0%)Chỉ giao xe tại Hà Nội,,,,,,https://www.lazada.vn/products/xe-may-yamaha-sirius-fi-phanh-co-tra-gop-0chi-giao-xe-tai-ha-noi-i1433096669.html,,,lazada,active,2024-12-03 06:02:30.405947
10,,,,21.540.000 ₫,,,Xe Máy Yamaha Sirius Phiên Bản Phanh Đĩa 2024,,,,,,https://www.lazada.vn/products/xe-may-yamaha-sirius-phien-ban-phanh-dia-2024-i2614670324.html,,,lazada,active,2024-12-03 06:02:30.405947
11,,,,22.570.000 ₫,,,Xe Máy Yamaha Sirius Phiên Bản RC Vành Đúc 2024,,,,,,https://www.lazada.vn/products/xe-may-yamaha-sirius-phien-ban-rc-vanh-duc-2024-i2614634847.html,,,lazada,active,2024-12-03 06:02:30.405947
12,,,,19.490.000 ₫,,,Xe Máy Yamaha Sirius Phiên Bản Phanh Cơ 2024,,,,,,https://www.lazada.vn/products/xe-may-yamaha-sirius-phien-ban-phanh-co-2024-i2614438715.html,,,lazada,active,2024-12-03 06:02:30.405947
13,,,,24.500.000 ₫,,,"Xe số Yamaha Sirius FI - phiên bản Vành đúc, động cơ 115cc, phanh đĩa, bảo hành 3 năm / 30.000 km,...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-sirius-fi-phien-ban-vanh-duc-dong-co-115cc-phanh-dia-bao-hanh-3-nam-30000-km-i2224776628.html,,,lazada,active,2024-12-03 06:02:30.405947
14,,,,23.500.000 ₫,,,"Xe số Yamaha Sirius FI - phiên bản Căm đĩa, động cơ 115cc, phanh đĩa, bảo hành 3 năm / 30.000 km,...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-sirius-fi-phien-ban-cam-dia-dong-co-115cc-phanh-dia-bao-hanh-3-nam-30000-km-i2224724375.html,,,lazada,active,2024-12-03 06:02:30.405947
15,,,,22.500.000 ₫,,,"Xe số Yamaha Sirius - phiên bản RC Mâm đĩa, động cơ 110cc, phanh đĩa, vành đúc, bảo hành 3 năm / 30.000 km,...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-sirius-phien-ban-rc-mam-dia-dong-co-110cc-phanh-dia-vanh-duc-bao-hanh-3-nam-30000-km-i2224668342.html,,,lazada,active,2024-12-03 06:02:30.405947
16,,,,21.500.000 ₫,,,"Xe số Yamaha Sirius FI - phiên bản Căm đùm, động cơ 115cc, phanh cơ, bảo hành 3 năm / 30.000 km,...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-sirius-fi-phien-ban-cam-dum-dong-co-115cc-phanh-co-bao-hanh-3-nam-30000-km-i2224639839.html,,,lazada,active,2024-12-03 06:02:30.405947
17,,,,21.200.000 ₫,,,"Xe số Yamaha Sirius - phiên bản Căm đĩa, động cơ 110cc, phanh đĩa, bảo hành 3 năm / 30.000 km,...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-sirius-phien-ban-cam-dia-dong-co-110cc-phanh-dia-bao-hanh-3-nam-30000-km-i2224563879.html,,,lazada,active,2024-12-03 06:02:30.405947
18,,,,32.500.000 ₫,,,"xe số Yamaha Jupiter FI - phiên bản Giới hạn, động cơ 115cc FI, phanh đĩa, bảo hành 3 năm / 30.000 km, ...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-jupiter-fi-phien-ban-gioi-han-dong-co-115cc-fi-phanh-dia-bao-hanh-3-nam-30000-km-i2224561243.html,,,lazada,active,2024-12-03 06:02:30.405947
19,,,,31.000.000 ₫,,,"Xe số Yamaha Jupiter FI - phiên bản Tiêu chuẩn, động cơ 115cc FI, phanh đĩa, bảo hành 3 năm / 30.000 km, ...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-jupiter-fi-phien-ban-tieu-chuan-dong-co-115cc-fi-phanh-dia-bao-hanh-3-nam-30000-km-i2224528628.html,,,lazada,active,2024-12-03 06:02:30.405947
20,,,,19.500.000 ₫,,,"Xe số Yamaha Sirius - phiên bản Căm đùm, động cơ 110cc, phanh cơ, bảo hành 3 năm / 30.000 km,...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-sirius-phien-ban-cam-dum-dong-co-110cc-phanh-co-bao-hanh-3-nam-30000-km-i2224484687.html,,,lazada,active,2024-12-03 06:02:30.405947
21,,,,30.500.000 ₫,,,"Xe số Yamaha Jupiter Finn hoàn toàn mới - phiên bản Tiêu chuẩn, động cơ 115cc FI, phanh UBS, hộc đựng đồ phía trước, cốp xe rộng, ...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-jupiter-finn-hoan-toan-moi-phien-ban-tieu-chuan-dong-co-115cc-fi-phanh-ubs-hoc-dung-do-phia-truoc-cop-xe-rong-i2224103560.html,,,lazada,active,2024-12-03 06:02:30.405947
22,,,,31.500.000 ₫,,,"Xe số Yamaha Jupiter Finn hoàn toàn mới - phiên bản Giới hạn, động cơ 115cc FI, phanh UBS, hộc đựng đồ phía trước, cốp xe rộng, ...",,,,,,https://www.lazada.vn/products/xe-so-yamaha-jupiter-finn-hoan-toan-moi-phien-ban-gioi-han-dong-co-115cc-fi-phanh-ubs-hoc-dung-do-phia-truoc-cop-xe-rong-i2224101405.html,,,lazada,active,2024-12-03 06:02:30.405947
1,,,,19.650.000 ₫,,,[HCM][Xe máy trả góp 0%] - Xe Máy Honda WAVE ALPHA 2024 - Phiên Bản Đặc Biệt,,,,,,https://www.lazada.vn/products/hcmxe-may-tra-gop-0-xe-may-honda-wave-alpha-2024-phien-ban-dac-biet-i2547623022.html,,,lazada,active,2024-12-03 06:02:30.405947
2,,,,19.990.000 ₫,,,[HCM][Xe máy trả góp 0%] - Xe Máy Honda WAVE ALPHA 2024 - Phiên Bản Cổ Điển,,,,,,https://www.lazada.vn/products/hcmxe-may-tra-gop-0-xe-may-honda-wave-alpha-2024-phien-ban-co-dien-i2547577059.html,,,lazada,active,2024-12-03 06:02:30.405947
3,,,,19.250.000 ₫,,,[HCM][Xe máy trả góp 0%] - Xe Máy Honda WAVE ALPHA 2024 - Phiên Bản Tiêu Chuẩn,,,,,,https://www.lazada.vn/products/hcmxe-may-tra-gop-0-xe-may-honda-wave-alpha-2024-phien-ban-tieu-chuan-i2547555436.html,,,lazada,active,2024-12-03 06:02:30.405947
4,,,,25.450.000 ₫,,,[HCM][Xe máy trả góp 0%] - Xe Máy Honda WAVE RSX FI - Phiên Bản Thể Thao - 2024,,,,,,https://www.lazada.vn/products/hcmxe-may-tra-gop-0-xe-may-honda-wave-rsx-fi-phien-ban-the-thao-2024-i2547391538.html,,,lazada,active,2024-12-03 06:02:30.405947
5,,,,22.250.000 ₫,,,[HCM][Xe máy trả góp 0%] - Xe Máy Honda WAVE RSX FI - Phiên Bản Tiêu Chuẩn - 2024,,,,,,https://www.lazada.vn/products/hcmxe-may-tra-gop-0-xe-may-honda-wave-rsx-fi-phien-ban-tieu-chuan-2024-i2547391536.html,,,lazada,active,2024-12-03 06:02:30.405947
6,,,,21.959.000 ₫,,,Xe máy Honda BLADE 110cc 2023 - Phiên Bản Thể Thao,,,,,,https://www.lazada.vn/products/xe-may-honda-blade-110cc-2023-phien-ban-the-thao-i2235794691.html,,,lazada,active,2024-12-03 06:02:30.405947
7,,,,20.404.000 ₫,,,Xe máy Honda BLADE 110cc 2023 - Phiên Bản Đặc Biệt,,,,,,https://www.lazada.vn/products/xe-may-honda-blade-110cc-2023-phien-ban-dac-biet-i2235752793.html,,,lazada,active,2024-12-03 06:02:30.405947
8,,,,22.490.000 ₫,,,Xe Máy Honda Wave RSX FI - Phiên Bản Tiêu Chuẩn 2024,,,,,,https://www.lazada.vn/products/xe-may-honda-wave-rsx-fi-phien-ban-tieu-chuan-2024-i2114966074.html,,,lazada,active,2024-12-03 06:02:30.405947
9,,,,25.999.000 ₫,,,Xe máy Honda Wave RSX 2023 - Vành đúc - Phanh đĩa,,,,,,https://www.lazada.vn/products/xe-may-honda-wave-rsx-2023-vanh-duc-phanh-dia-i1955826217.html,,,lazada,active,2024-12-03 06:02:30.405947
10,,,,19.590.000 ₫,,,Xe Máy Honda Wave Alpha 110cc 2023,,,,,,https://www.lazada.vn/products/xe-may-honda-wave-alpha-110cc-2023-i1955611859.html,,,lazada,active,2024-12-03 06:02:30.405947
11,,,,18.900.000 ₫,,,Xe Máy Wave Alpha 110cc 2024 Phiên bản Tiêu Chuẩn,,,,,,https://www.lazada.vn/products/xe-may-wave-alpha-110cc-2024-phien-ban-tieu-chuan-i1954161355.html,,,lazada,active,2024-12-03 06:02:30.405947
12,,,,20.300.000 ₫,,,Xe Máy Honda Wave Alpha Phiên Bản Cổ Điển 2024,,,,,,https://www.lazada.vn/products/xe-may-honda-wave-alpha-phien-ban-co-dien-2024-i1613662509.html,,,lazada,active,2024-12-03 06:02:30.405947
13,,,,38.500.000 ₫,,,[HCM][Xe máy trả góp 0%] - Xe Máy Honda FUTURE FI - Phiên Bản Đặc Biệt - Vành Đúc - 2024,,,,,,https://www.lazada.vn/products/hcmxe-may-tra-gop-0-xe-may-honda-future-fi-phien-ban-dac-biet-vanh-duc-2024-i1594877257.html,,,lazada,active,2024-12-03 06:02:30.405947
14,,,,18.953.000 ₫,,,Xe máy Honda BLADE 110cc 2023 - Phiên Bản Tiêu Chuẩn,,,,,,https://www.lazada.vn/products/xe-may-honda-blade-110cc-2023-phien-ban-tieu-chuan-i2235711256.html,,,lazada,active,2024-12-03 06:02:30.405947
15,,,,21.590.000 ₫,,,[HCM][Xe máy trả góp 0%] - Xe máy Honda Wave Alpha 2023 - Phiên Bản Đặc Biệt,,,,,,https://www.lazada.vn/products/hcmxe-may-tra-gop-0-xe-may-honda-wave-alpha-2023-phien-ban-dac-biet-i2006424773.html,,,lazada,active,2024-12-03 06:02:30.405947
16,,,,33.880.000 ₫,,,Xe Máy Honda Future 125 2022 -Phiên bản Cao cấp (Phanh đĩa - vành đúc),,,,,,https://www.lazada.vn/products/xe-may-honda-future-125-2022-phien-ban-cao-cap-phanh-dia-vanh-duc-i1955791396.html,,,lazada,active,2024-12-03 06:02:30.405947
17,,,,21.480.000 ₫,,,Xe máy Honda Wave RSX Fi 2023 - Vành nan hoa phanh cơ,,,,,,https://www.lazada.vn/products/xe-may-honda-wave-rsx-fi-2023-vanh-nan-hoa-phanh-co-i1955766732.html,,,lazada,active,2024-12-03 06:02:30.405947
18,,,,32.820.000 ₫,,,Xe Máy Honda Future 125- 2022 Phiên Bản Tiêu Chuẩn (Phanh Đĩa- Vành Nan Hoa),,,,,,https://www.lazada.vn/products/xe-may-honda-future-125-2022-phien-ban-tieu-chuan-phanh-dia-vanh-nan-hoa-i1955699832.html,,,lazada,active,2024-12-03 06:02:30.405947
19,,,,32.990.000 ₫,,,Xe Máy Honda Future 125 2022 -Phiên bản Đặc biệt (Phanh đĩa - vành đúc),,,,,,https://www.lazada.vn/products/xe-may-honda-future-125-2022-phien-ban-dac-biet-phanh-dia-vanh-duc-i1955556963.html,,,lazada,active,2024-12-03 06:02:30.405947
20,,,,32.990.000 ₫,,,Xe Máy Honda Future 125 2022 -Phiên bản Đặc biệt (Phanh đĩa - vành đúc),,,,,,https://www.lazada.vn/products/xe-may-honda-future-125-2022-phien-ban-dac-biet-phanh-dia-vanh-duc-i1954186337.html,,,lazada,active,2024-12-03 06:02:30.405947
21,,,,32.680.000 ₫,,,Xe Máy Honda Future 125 2022 -Phiên bản Cao cấp (Phanh đĩa - vành đúc),,,,,,https://www.lazada.vn/products/xe-may-honda-future-125-2022-phien-ban-cao-cap-phanh-dia-vanh-duc-i1947139155.html,,,lazada,active,2024-12-03 06:02:30.405947
22,,,,473.700.000 ₫,,,Xe Honda Winner X 150cc - Đen Mờ,,,,,,https://www.lazada.vn/products/xe-honda-winner-x-150cc-den-mo-i1798236016.html,,,lazada,active,2024-12-03 06:02:30.405947
23,,,,42.840.000 ₫,,,Xe Honda Vision 110cc 2021 - Phiên bản đặc biệt,,,,,,https://www.lazada.vn/products/xe-honda-vision-110cc-2021-phien-ban-dac-biet-i1798235041.html,,,lazada,active,2024-12-03 06:02:30.405947
24,,,,117.920.000 ₫,,,Xe Honda SH 150i - Phanh CBS,,,,,,https://www.lazada.vn/products/xe-honda-sh-150i-phanh-cbs-i1798233032.html,,,lazada,active,2024-12-03 06:02:30.405947
25,,,,129.770.000 ₫,,,Xe Honda SH 150i - Phanh ABS,,,,,,https://www.lazada.vn/products/xe-honda-sh-150i-phanh-abs-i1798229075.html,,,lazada,active,2024-12-03 06:02:30.405947
26,,,,74.150.000 ₫,,,Xe Honda SH Mode 2022- Tiêu chuẩn phanh CBS,,,,,,https://www.lazada.vn/products/xe-honda-sh-mode-2022-tieu-chuan-phanh-cbs-i1798226152.html,,,lazada,active,2024-12-03 06:02:30.405947
27,,,,44.790.000 ₫,,,Xe LEAD 2022- Cao Cấp,,,,,,https://www.lazada.vn/products/xe-lead-2022-cao-cap-i1798222144.html,,,lazada,active,2024-12-03 06:02:30.405947
28,,,,43.760.000 ₫,,,Xe Honda LEAD 125cc - Bản Đặc Biệt,,,,,,https://www.lazada.vn/products/xe-honda-lead-125cc-ban-dac-biet-i1798221159.html,,,lazada,active,2024-12-03 06:02:30.405947
29,,,,39.750.000 ₫,,,Xe Honda Future 2022 Phiên bản Tiêu chuẩn (Phanh đĩa - vành nan hoa),,,,,,https://www.lazada.vn/products/xe-honda-future-2022-phien-ban-tieu-chuan-phanh-dia-vanh-nan-hoa-i1798216195.html,,,lazada,active,2024-12-03 06:02:30.405947
30,,,,24.710.000 ₫,,,"Xe Honda RSX 110cc - Vành Nan, Phanh Cơ",,,,,,https://www.lazada.vn/products/xe-honda-rsx-110cc-vanh-nan-phanh-co-i1798213273.html,,,lazada,active,2024-12-03 06:02:30.405947
31,,,,178.180.000 ₫,,,Xe Honda SH 350i - Phiên bản Cao Cấp,,,,,,https://www.lazada.vn/products/xe-honda-sh-350i-phien-ban-cao-cap-i1798213267.html,,,lazada,active,2024-12-03 06:02:30.405947
32,,,,20.590.000 ₫,,,"Xe Honda Blade 110cc - Tiêu Chuẩn - Vành Nan, Phanh Đùm",,,,,,https://www.lazada.vn/products/xe-honda-blade-110cc-tieu-chuan-vanh-nan-phanh-dum-i1798212312.html,,,lazada,active,2024-12-03 06:02:30.405947
33,,,,47.470.000 ₫,,,Xe Honda Winner X 150 2022 - Phiên bản tiêu chuẩn,,,,,,https://www.lazada.vn/products/xe-honda-winner-x-150-2022-phien-ban-tieu-chuan-i1798206435.html,,,lazada,active,2024-12-03 06:02:30.405947
34,,,,83.420.000 ₫,,,Xe SH mode 2022 - Đặc biệt phanh ABS,,,,,,https://www.lazada.vn/products/xe-sh-mode-2022-dac-biet-phanh-abs-i1798198427.html,,,lazada,active,2024-12-03 06:02:30.405947
35,,,,27.800.000 ₫,,,"Xe Honda RSX 110cc - Vành Đúc, Phanh Đĩa",,,,,,https://www.lazada.vn/products/xe-honda-rsx-110cc-vanh-duc-phanh-dia-i1798198413.html,,,lazada,active,2024-12-03 06:02:30.405947
36,,,,49.430.000 ₫,,,Xe Honda AirBlade 125cc - Phiên bản đặc biệt,,,,,,https://www.lazada.vn/products/xe-honda-airblade-125cc-phien-ban-dac-biet-i1798185470.html,,,lazada,active,2024-12-03 06:02:30.405947
37,,,,42.320.000 ₫,,,Xe Honda Future 2022 Phiên bản Đặc biệt (Phanh đĩa - vành đúc),,,,,,https://www.lazada.vn/products/xe-honda-future-2022-phien-ban-dac-biet-phanh-dia-vanh-duc-i1798184516.html,,,lazada,active,2024-12-03 06:02:30.405947
38,,,,83.420.000 ₫,,,Xe Honda Sh Mode 2020 - Phiên bản cá tính ABS,,,,,,https://www.lazada.vn/products/xe-honda-sh-mode-2020-phien-ban-ca-tinh-abs-i1798181530.html,,,lazada,active,2024-12-03 06:02:30.405947
39,,,,47.880.000 ₫,,,Xe Honda Winner X 150cc - Đường Đua,,,,,,https://www.lazada.vn/products/xe-honda-winner-x-150cc-duong-dua-i1798178610.html,,,lazada,active,2024-12-03 06:02:30.405947
40,,,,183.330.000 ₫,,,Xe Honda SH 350i - Phiên bản Thể Thao,,,,,,https://www.lazada.vn/products/xe-honda-sh-350i-phien-ban-the-thao-i1798178559.html,,,lazada,active,2024-12-03 06:02:30.405947
